Box ID,Location,Total Compartments,Occupied Compartments,Available Compartments,Utilization Rate,Status
A1,A1,6,0,6,0.00%,Available
A2,A2,6,0,6,0.00%,Available
A3,A3,6,0,6,0.00%,Available
A4,A4,6,0,6,0.00%,Available
A5,A5,6,1,5,16.67%,Available
A6,A6,6,0,6,0.00%,Available
A7,A7,6,1,5,16.67%,Available
B1,B1,6,1,5,16.67%,Available
B2,B2,6,0,6,0.00%,Available
B3,B3,6,1,5,16.67%,Available
B4,B4,6,1,5,16.67%,Available
B5,B5,6,0,6,0.00%,Available
B6,B6,6,1,5,16.67%,Available
B7,B7,6,1,5,16.67%,Available
C1,C1,6,0,6,0.00%,Available
C2,C2,6,0,6,0.00%,Available
C3,C3,6,1,5,16.67%,Available
C4,C4,6,1,5,16.67%,Available
C5,C5,6,1,5,16.67%,Available
C6,C6,6,1,5,16.67%,Available
C7,C7,6,0,6,0.00%,Available
D1,D1,6,1,5,16.67%,Available
D2,D2,6,0,6,0.00%,Available
D3,D3,6,1,5,16.67%,Available
D4,D4,6,1,5,16.67%,Available
D5,D5,6,1,5,16.67%,Available
D6,D6,6,1,5,16.67%,Available
D7,D7,6,1,5,16.67%,Available
E1,E1,6,1,5,16.67%,Available
E2,E2,6,1,5,16.67%,Available
E3,E3,6,1,5,16.67%,Available
E4,E4,6,1,5,16.67%,Available
E5,E5,6,1,5,16.67%,Available
E6,E6,6,1,5,16.67%,Available
E7,E7,6,1,5,16.67%,Available
